Funded ID,Product,Initial Funding Date,Total Original Balance,Total Original RTR,Past Due Amount,Total Principal Net Charge Off,Owner FICO,Commission Cost %
8535,SuperB,7/15/2024,"1,000,000","1,260,000",0,0,784,0.04
8534,RBF,7/15/2024,"300,000","390,000",0,0,673,0.08
8533,NTW,7/15/2024,"87,500","114,625",0,0,662,0.06
8532,RBF,7/12/2024,"50,000","67,500",0,0,691,0.1
8531,RBF,7/12/2024,"175,000","222,250",0,0,634,0.05
8530,SuperB,7/12/2024,"1,917,500","2,473,575","-103,066",0,739,0.04
8529,NTW,7/12/2024,"35,000","46,200",0,0,762.5,0.1
8528,RBF,7/12/2024,"400,000","524,000","-219,027",0,777,0.06
8527,NTW,7/12/2024,"100,000","132,000",0,0,679,0.1
8526,RBF,7/12/2024,"450,000","594,000",0,0,717,0.08
8525,RBF,7/12/2024,"300,000","396,000",0,0,786,0.09
8524,SuperB,7/12/2024,"2,100,000","2,562,000",0,0,755.5,0.03
8523,RBF,7/12/2024,"250,000","312,500",0,0,646,0.01
8522,RBF,7/11/2024,"300,000","378,000","-22,500",0,763,0.03
8521,NTW,7/11/2024,"75,000","96,000",0,0,748,0.08
8520,NTW,7/11/2024,"110,000","145,200",0,0,757,0.1
8519,NTW,7/11/2024,"200,000","252,000",0,0,722,0.05
8518,RBF,7/11/2024,"300,000","411,000","-176,980",0,660,0.1
8517,SuperB,7/11/2024,"1,250,000","1,575,000",0,0,749,0.04
8516,RBF,7/10/2024,"110,000","145,200",0,0,744,0.1
8515,NTW,7/10/2024,"140,000","184,800",0,0,675,0.1
8514,NTW,7/10/2024,"110,000","142,450","-3,354",0,694,0.05
8513,NTW,7/10/2024,"200,000","250,000",0,0,687,0.04
8512,NTW,7/10/2024,"35,000","46,900","-1,489",0,656,0.1
8511,RBF,7/9/2024,"2,627,387","3,363,056",0,0,701,0.03
8510,RBF,7/9/2024,"250,000","317,500",0,"170,625",766,0.04
8509,NTW,7/9/2024,"150,000","198,000",0,"105,380",696,0.1
8508,NTW,7/9/2024,"75,000","94,500",0,0,722,0.04
8507,RBF,7/9/2024,"250,000","322,500",0,"194,156",630,0.05
8506,RBF,7/9/2024,"750,000","967,500","-76,786",0,634,0.04
8505,SuperB,7/9/2024,"600,000","708,000","-59,000",0,700,0.01
8504,RBF,7/9/2024,"40,000","61,600",0,0,648,0.04
8503,RBF,7/8/2024,"150,000","202,500",0,0,680,0.1
8502,RBF,7/8/2024,"500,000","665,000",0,0,749,0.08
8501,RBF,7/8/2024,"1,000,000","1,290,000",0,0,722,0.04
8500,RBF,7/5/2024,"1,256,076","1,544,974","-61,308",0,663.5,0.01
8499,RBF,7/5/2024,"700,000","917,000","-272,889",0,692,0.06
8498,RBF,7/3/2024,"240,000","283,200",0,0,777,0.04
8497,RBF,7/3/2024,"250,000","302,500",0,0,804.5,0.03
8496,RBF,7/3/2024,"105,000","145,950",0,"79,459",657,0.08
8495,RBF,7/3/2024,"1,000,000","1,280,000",0,0,778,0.03
8494,RBF,7/2/2024,"200,000","238,000",0,0,755,0.05
8493,RBF,7/2/2024,"275,000","357,500",0,0,653,0.05
8492,RBF,7/2/2024,"501,000","636,270",0,0,777.5,0.05
8491,RBF,7/2/2024,"450,000","594,000",0,0,667,0.08
8490,RBF,7/1/2024,"100,000","126,000",0,0,767.5,0.04
8489,SuperB,7/1/2024,"300,000","384,000",0,0,741,0.04
8487,RBF,7/1/2024,"100,000","128,000","-51,809",0,702,0.04
8486,RBF,7/1/2024,"170,000","224,400",0,0,709,0.09
8485,RBF,7/1/2024,"50,000","66,000",0,0,677,0.1
8484,RBF,7/1/2024,"40,000","54,000",0,0,631,0.07
8483,RBF,7/1/2024,"235,000","296,100","-114,579",0,770,0.04
8481,RBF,7/1/2024,"500,000","610,000",0,0,767,0.03
8480,NTW,7/1/2024,"140,000","189,000",0,0,675,0.08
8479,RBF,7/1/2024,"500,000","650,000",0,0,759,0.055
8478,RBF,6/28/2024,"300,000","375,000",0,0,719,0.05
8477,RBF,6/28/2024,"600,000","780,000","-217,034",0,N/A,0.05
8476,RBF,6/28/2024,"350,000","451,500",0,0,704,0.07
8475,SuperB,6/28/2024,"1,000,000","1,200,000","-163,095",0,715,0.015
8474,SuperB,6/28/2024,"600,000","720,000","-11,143",0,750,0.02
8473,RBF,6/28/2024,"315,000","384,300","-107,258",0,671,0
8472,SuperB,6/28/2024,"2,000,000","2,440,000",0,0,753,0.01
8471,RBF,6/28/2024,"725,000","964,250",0,0,717.6666,0.05
8470,SuperB,6/28/2024,"1,225,000","1,494,500",0,0,752,0.02
8469,RBF,6/28/2024,"300,000","375,000",0,0,803,0.04
8468,SuperB,6/27/2024,"1,500,000","1,965,000","-701,786",0,762,0.05
8467,NTW,6/27/2024,"150,000","189,000","-75,000",0,736,0.05
8466,RBF,6/27/2024,"855,000","1,000,350",0,0,655.5,0.03
8465,NTW,6/27/2024,"150,000","201,000",0,0,678,0.1
8464,SuperB,6/27/2024,"1,000,000","1,190,000",0,0,735.5,0.01
8463,NTW,6/27/2024,"85,000","108,800",0,0,666,0.05
8462,RBF,6/27/2024,"1,000,000","1,350,000",0,0,702,0.04
8461,SuperB,6/27/2024,"1,768,000","2,245,361",0,0,705,0.03
8459,RBF,6/27/2024,"1,200,000","1,572,000","-468,428",0,700,0.05
8458,NTW,6/27/2024,"125,000","166,250","-13,194",0,743,0.07
8457,SuperB,6/27/2024,"3,100,000","3,813,000","-2,542,000",0,720,0.01
8456,RBF,6/27/2024,"100,000","125,000",0,0,759,0.03
8455,NTW,6/27/2024,"100,000","125,000",0,0,752,0.05
8453,RBF,6/27/2024,"500,000","655,000",0,0,780,0.065
8452,RBF,6/26/2024,"200,000","274,000",0,0,635,0.1
8451,RBF,6/26/2024,"750,000","997,500","-19,792",0,623,0.07
8450,RBF,6/26/2024,"200,000","266,000",0,0,758.6666,0.06
8449,RBF,6/26/2024,"250,000","327,500",0,0,774,0.05
8448,RBF,6/26/2024,"250,000","327,500",0,0,774,0.05
8447,RBF,6/26/2024,"350,000","448,000",0,0,694,0.05
8446,RBF,6/26/2024,"120,000","152,400",0,0,695,0.05
8445,NTW,6/25/2024,"100,000","130,000","-3,869",0,631,0.1
8444,RBF,6/25/2024,"800,000","944,000","-211,551",0,668.5,0.04
8443,SuperB,6/25/2024,"2,250,000","2,902,500",0,0,776,0.04
8442,RBF,6/25/2024,"200,000","254,000",0,0,760,0.04
8441,RBF,6/25/2024,"200,000","256,000",0,0,719,0.06
8440,SuperB,6/25/2024,"2,500,000","3,100,000",0,0,762,0.03
8439,NTW,6/25/2024,"75,000","97,500",0,0,822,0.05
8438,RBF,6/25/2024,"650,000","851,500","-295,176",0,692.5,0.06
8436,RBF,6/25/2024,"200,000","246,000",0,0,794.5,0.01
8435,RBF,6/24/2024,"710,000","912,350",0,0,756,0.04
8434,RBF,6/24/2024,"150,000","198,000",0,0,682.5,0.07
8433,RBF,6/21/2024,"95,000","122,550",0,0,715,0.06
8432,NTW,6/21/2024,"125,000","151,250",0,0,745,0.03
8431,SuperB,6/21/2024,"2,900,000","3,596,000",0,0,776,0.03
8430,RBF,6/21/2024,"200,000","236,000",0,0,729,0.04
8429,RBF,6/21/2024,"250,000","315,000",0,0,672.5,0.01
8428,RBF,6/21/2024,"400,000","504,000",0,0,761,0.02
8427,SuperB,6/21/2024,"1,250,000","1,387,500",0,0,731,0.01
8426,SuperB,6/21/2024,"2,200,000","2,926,000","-406,389",0,725,0.03
8425,SuperB,6/21/2024,"1,000,000","1,320,000",0,0,715.5,0.05
8424,SuperB,6/21/2024,"2,500,000","3,400,000",0,0,792,0.01
8423,RBF,6/21/2024,"50,000","67,500","-7,607",0,686,0
8422,RBF,6/21/2024,"60,000","76,800","-16,457",0,741,0.05
8421,RBF,6/21/2024,"127,576","159,470","-56,250",0,625,0.03
8420,SuperB,6/20/2024,"2,000,000","2,480,000",0,0,702,0.02
8419,SuperB,6/20/2024,"500,000","615,000",0,0,669,0.05
8418,RBF,6/20/2024,"350,000","441,000",0,0,763,0.04
8417,RBF,6/20/2024,"50,000","65,000",0,0,724,0.1
8415,RBF,6/20/2024,"75,000","96,000","-19,050",0,723.5,0.07
8414,NTW,6/20/2024,"175,000","236,250",0,0,667.5,0.1
8413,SuperB,6/20/2024,"500,000","615,000",0,0,774,0.025
8412,RBF,6/20/2024,"100,000","135,000",0,0,658,0.1
8411,RBF,6/20/2024,"175,000","218,750",0,0,722,0.04
8410,RBF,6/20/2024,"400,000","484,000",0,0,803.5,0.03
8409,RBF,6/18/2024,"1,500,000","1,920,000",0,0,790.5,0.03
8408,RBF,6/18/2024,"750,000","1,005,000",0,"452,831",729,0.08
8407,RBF,6/18/2024,"200,000","260,000","-8,015",0,732,0.07
8406,RBF,6/18/2024,"250,000","312,500",0,0,821.5,0.04
8405,SuperB,6/17/2024,"750,000","885,000",0,0,762,0.01
8404,RBF,6/17/2024,"500,000","645,000",0,"346,428",666,0.05
8403,RBF,6/17/2024,"500,000","610,000",0,0,774.6666,0
8402,RBF,6/17/2024,"379,947","471,134","-179,958",0,752,0.01
8401,RBF,6/17/2024,"300,000","393,000",0,0,727,0.06
8400,RBF,6/17/2024,"250,000","312,500",0,0,685,0.05
8399,RBF,6/14/2024,"500,000","625,000",0,0,655,0.04
8398,RBF,6/14/2024,"250,000","320,000","-12,698",0,744,0.06
8397,RBF,6/14/2024,"362,000","452,500",0,0,754,0.04
8396,RBF,6/14/2024,"150,000","201,000",0,0,699,0.07
8395,RBF,6/14/2024,"120,000","152,400",0,0,694,0.05
8394,SuperB,6/14/2024,"300,000","354,000","-14,750",0,682,0.01
8393,RBF,6/14/2024,"50,000","64,500",0,0,663,0.03
8392,NTW,6/14/2024,"120,000","147,600",0,0,782,0.03
8391,RBF,6/14/2024,"685,955","857,443",0,0,732,0.01
8390,SuperB,6/13/2024,"3,650,000","4,635,500",0,0,764,0.02
8389,RBF,6/13/2024,"150,000","195,000",0,0,767,0.08
8388,SuperB,6/13/2024,"2,040,816","2,693,878",0,0,703,0.05
8387,RBF,6/13/2024,"200,000","254,000",0,0,772,0.05
8386,RBF,6/13/2024,"200,000","254,000",0,0,704,0.04
8385,SuperB,6/12/2024,"1,000,000","1,160,000",0,0,731.5,0.02
8384,SuperB,6/12/2024,"1,000,000","1,160,000",0,0,731.5,0.02
8383,RBF,6/12/2024,"515,000","679,800",0,0,742,0.08
8382,RBF,6/12/2024,"345,000","476,100",0,0,788,0.04
8381,SuperB,6/12/2024,"1,600,000","1,968,000",0,0,801,0.01
8380,RBF,6/11/2024,"50,000","65,500",0,0,737.5,0.1
8379,RBF,6/11/2024,"100,000","118,000",0,0,688,0.04
8378,SuperB,6/11/2024,"850,000","1,045,500",0,0,777,0.01
8377,RBF,6/11/2024,"330,000","455,400",0,0,788,0.04
8376,RBF,6/11/2024,"200,000","240,000",0,0,694,0.02
8374,SuperB,6/10/2024,"2,500,000","3,200,000",0,0,820,0.02
8373,SuperB,6/10/2024,"3,450,000","4,381,500",0,0,764,0.02
8372,RBF,6/10/2024,"150,000","198,000",0,0,772,0.09
8371,RBF,6/7/2024,"200,000","256,000",0,0,656,0.08
8370,RBF,6/7/2024,"175,000","225,750","-8,958",0,741,0.06
8369,SuperB,6/7/2024,"2,100,000","2,572,500","-82,764",0,680,0.01
8368,RBF,6/7/2024,"800,000","1,096,000","-339,238",0,732,0.05
8367,NTW,6/7/2024,"50,000","67,000",0,0,669,0.1
8366,SuperB,6/7/2024,"350,000","430,500",0,0,722,0.05
8365,RBF,6/7/2024,"275,000","354,750",0,0,772,0.05
8364,RBF,6/7/2024,"150,000","175,500",0,0,628,0.04
8363,RBF,6/6/2024,"412,349","511,313","-217,692",0,664,0.02
8362,RBF,6/6/2024,"200,000","266,000",0,0,638,0.1
8361,SuperB,6/6/2024,"2,000,000","2,500,000",0,0,766,0.04
8360,SuperB,6/6/2024,"1,000,000","1,250,000",0,0,768,0.01
8359,SuperB,6/6/2024,"2,000,000","2,510,000",0,0,746,0.02
8357,SuperB,6/6/2024,"1,500,000","1,845,000",0,0,665,0.01
8356,SuperB,6/5/2024,"1,500,000","1,845,000",0,0,776,0.03
8355,RBF,6/5/2024,"300,000","390,000",0,0,685,0.07
8354,NTW,6/5/2024,"100,000","128,000",0,0,753,0.08
8353,RBF,6/5/2024,"50,000","62,500",0,0,738.5,0.03
8352,RBF,6/5/2024,"150,000","193,500",0,"126,964",679.5,0.05
8351,RBF,6/4/2024,"1,000,000","1,310,000",0,0,737,0.04
8350,RBF,6/4/2024,"150,000","190,500","-1,890",0,776,0.05
8349,SuperB,6/4/2024,"800,000","956,000",0,0,745.5,0.03
8348,RBF,6/3/2024,"50,000","67,000",0,0,741,0.08
8347,RBF,6/3/2024,"500,000","650,000",0,0,691,0.03
8346,RBF,6/3/2024,"150,000","195,000",0,0,724,0.1
8345,NTW,5/31/2024,"40,000","52,000",0,0,738,0.1
8344,RBF,5/31/2024,"800,000","1,040,000",0,0,698.5,0.06
8343,RBF,5/31/2024,"125,000","161,250",0,0,729,0.06
8342,NTW,5/31/2024,"70,000","93,800",0,0,650,0.1
8341,RBF,5/31/2024,"200,000","250,000",0,0,732.3333,0.04
8340,RBF,5/31/2024,"125,000","158,750","-33,897",0,651,0.01
8339,RBF,5/31/2024,"200,000","256,000","-52,873",0,668.6666,0.04
8338,RBF,5/31/2024,"200,000","260,000",0,0,735.5,0.06
8337,RBF,5/31/2024,"75,000","97,500",0,0,684,0.07
8336,RBF,5/31/2024,"70,000","80,500",0,0,743,0.03
8335,SuperB,5/31/2024,"1,000,000","1,260,000",0,0,762.3333,0.02
8334,RBF,5/31/2024,"1,000,000","1,290,000",0,0,692,0.05
8333,RBF,5/31/2024,"300,000","384,000",0,0,786,0.08
8332,SuperB,5/30/2024,"1,500,000","1,860,000",0,0,743,0.04
8331,SuperB,5/30/2024,"1,250,000","1,450,000",0,0,731.5,0.01
8330,SuperB,5/30/2024,"1,250,000","1,450,000",0,0,731.5,0.01
8329,SuperB,5/30/2024,"1,250,000","1,450,000",0,0,731.5,0.01
8328,SuperB,5/30/2024,"1,250,000","1,450,000",0,0,731.5,0.01
8327,NTW,5/30/2024,"150,000","187,500",0,0,733,0.08
8326,RBF,5/30/2024,"100,000","123,000",0,0,572,0.03
8325,RBF,5/30/2024,"225,000","299,250",0,0,794,0.08
8324,RBF,5/30/2024,"100,000","126,000",0,0,718,0.06
8323,RBF,5/30/2024,"175,000","220,500","-13,650",0,663,0.06
8322,RBF,5/30/2024,"150,000","195,000","-21,667",0,718,0.1
8321,RBF,5/29/2024,"898,593","1,168,171",0,0,783,0.02
8320,RBF,5/29/2024,"350,000","451,500",0,0,650,0.05
8319,NTW,5/29/2024,"75,000","96,000",0,0,769,0.08
8318,RBF,5/28/2024,"200,000","260,000","-5,159",0,709,0.08
8317,NTW,5/28/2024,"120,000","159,600",0,0,699,0.1
8316,RBF,5/28/2024,"350,000","462,000",0,0,619,0.08
8315,NTW,5/24/2024,"115,000","155,250","-32,297",0,695,0.1
8314,RBF,5/24/2024,"250,000","330,000","-157,190",0,693,0.07
8313,RBF,5/24/2024,"100,000","133,000",0,0,698,0.1
8312,RBF,5/24/2024,"389,000","505,700",0,0,768,0.05
8311,RBF,5/24/2024,"350,000","437,500",0,0,704.5,0.03
8310,RBF,5/24/2024,"350,554","413,654","-7,604",0,792,0.02
8309,RBF,5/23/2024,"1,500,000","1,860,000",0,0,675,0.01
8308,SuperB,5/23/2024,"3,150,000","4,032,000",0,0,647,0.03
8307,SuperB,5/23/2024,"500,000","625,000",0,0,726,0.05
8306,RBF,5/23/2024,"250,000","305,000",0,0,693.5,0.02
8305,RBF,5/23/2024,"1,200,000","1,548,000",0,0,724,0.04
8304,RBF,5/23/2024,"500,000","645,000",0,"290,584",675,0.05
8303,RBF,5/23/2024,"1,500,000","1,875,000",0,0,772,0.02
8302,RBF,5/23/2024,"300,000","384,000","-155,428",0,702,0.04
8301,NTW,5/23/2024,"150,000","201,000","-3,988",0,627,0.08
8300,RBF,5/23/2024,"200,000","250,000",0,0,776,0.06
8299,RBF,5/22/2024,"150,000","198,000",0,0,790,0.08
8298,RBF,5/22/2024,"250,000","295,000",0,0,721,0.04
8297,RBF,5/22/2024,"1,100,000","1,380,500",0,0,670,0.03
8296,SuperB,5/22/2024,"1,695,408","2,254,893",0,0,805,0.03
8295,SuperB,5/22/2024,"975,000","1,150,500",0,0,747,0.03
8294,SuperB,5/22/2024,"1,220,000","1,561,600",0,0,692,0.035
8293,RBF,5/21/2024,"500,001","625,001",0,0,766,0.04
8292,RBF,5/21/2024,"317,428","403,134","-76,787",0,669,0.05
8291,RBF,5/21/2024,"250,000","320,000",0,0,684,0.03
8290,RBF,5/21/2024,"350,000","448,000",0,0,590.5,0.04
8289,NTW,5/21/2024,"125,000","158,750",0,0,707.6666,0.05
8288,RBF,5/21/2024,"1,000,000","1,290,000",0,0,707.5,0.02
8287,RBF,5/21/2024,"1,250,000","1,587,500",0,0,664,0.02
8286,SuperB,5/21/2024,"800,000","1,008,000",0,0,693,0.02
8285,RBF,5/21/2024,"200,000","248,000","-51,175",0,789,0.04
8284,NTW,5/21/2024,"50,000","66,000",0,0,708,0.1
8283,SuperB,5/20/2024,"2,500,000","3,025,000",0,0,693,0.01
8282,RBF,5/20/2024,"50,000","64,000",0,0,650,0
8281,RBF,5/20/2024,"153,000","189,720",0,0,735,0.03
8280,SuperB,5/17/2024,"2,000,000","2,460,000",0,0,776.5,0.03
8279,RBF,5/17/2024,"350,000","437,500","-26,042",0,750,0.03
8278,RBF,5/17/2024,"520,000","665,600",0,0,693,0.04
8277,RBF,5/17/2024,"300,000","391,500","-222,836",0,751,0.04
8276,RBF,5/17/2024,"30,000","38,700",0,0,709,0.08
8275,RBF,5/17/2024,"175,000","234,500",0,0,709,0.08
8274,RBF,5/17/2024,"200,000","260,000","-83,953",0,714,0.06
8273,RBF,5/17/2024,"500,000","665,000","-45,001",0,660,0.01
8272,RBF,5/17/2024,"40,000","61,600",0,0,717,0.02
8271,RBF,5/17/2024,"150,000","193,500",0,0,743.6666,0.08
8270,RBF,5/16/2024,"1,250,000","1,550,000",0,0,731,0.01
8269,RBF,5/16/2024,"250,000","312,500",0,0,753.5,0.04
8268,RBF,5/16/2024,"1,196,581","1,471,795",0,0,774,0.03
8267,RBF,5/16/2024,"1,292,152","1,589,346",0,0,774,0.03
8266,RBF,5/16/2024,"160,000","182,400",0,0,720,0.02
8265,RBF,5/16/2024,"200,000","256,000","-22,349",0,728,0.03
8264,NTW,5/16/2024,"130,000","176,800","-17,563",0,632,0.1
8263,SuperB,5/16/2024,"2,038,000","2,669,780",0,0,674,0.03
8262,NTW,5/15/2024,"80,000","106,400",0,0,730,0.1
8261,RBF,5/15/2024,"300,000","399,000",0,0,673.5,0.1
8260,RBF,5/15/2024,"250,000","292,500",0,0,791,0
8259,RBF,5/15/2024,"150,000","183,000",0,0,722,0.02
8258,RBF,5/15/2024,"130,000","171,600",0,0,642,0.04
8257,RBF,5/15/2024,"120,000","153,600",0,0,702,0.06
8256,RBF,5/15/2024,"285,000","353,400",0,"235,917",709,0.05
8255,SuperB,5/14/2024,"2,400,000","3,048,000",0,0,705.5,0.04
8254,SuperB,5/14/2024,"1,000,000","1,260,000",0,0,777.5,0.03
8253,SuperB,5/13/2024,"2,000,000","2,400,000",0,0,694,0.015
8252,RBF,5/13/2024,"125,000","168,750",0,0,792,0.1
8251,SuperB,5/13/2024,"1,015,000","1,207,850",0,0,773,0.02
8250,NTW,5/10/2024,"150,000","192,000",0,0,697.5,0.06
8249,SuperB,5/10/2024,"1,200,000","1,572,000",0,0,726,0.05
8247,RBF,5/10/2024,"300,000","366,000",0,0,762,0.01
8246,RBF,5/10/2024,"1,070,000","1,380,300","-490,012",0,785,0.04
8245,RBF,5/9/2024,"305,000","408,700",0,0,756,0.1
8244,RBF,5/9/2024,"1,000,000","1,325,000",0,0,719,0.03
8243,SuperB,5/9/2024,"3,785,000","4,901,575",0,0,694,0.035
8242,RBF,5/9/2024,"550,000","726,000",0,0,703,0.08
8241,RBF,5/9/2024,"205,000","272,650",0,0,715,0.1
8240,RBF,5/9/2024,"200,000","256,000","-7,619",0,693,0.04
8239,RBF,5/8/2024,"75,000","97,500","-2,945",0,727,0.07
8238,NTW,5/8/2024,"120,000","158,400",0,0,720,0.1
8237,RBF,5/8/2024,"500,000","640,000",0,0,747,0.06
8236,RBF,5/8/2024,"60,000","75,000",0,0,740,0.03
8235,RBF,5/8/2024,"200,000","252,000","-50,000",0,687,0.04
8234,RBF,5/8/2024,"550,000","693,000","-50,000",0,703,0.02
8233,RBF,5/8/2024,"150,000","195,000",0,0,755,0.08
8232,SuperB,5/7/2024,"750,000","900,000","-18,214",0,776,0.02
8231,RBF,5/7/2024,"200,000","254,000","-2,520",0,774,0.05
8230,RBF,5/7/2024,"1,050,000","1,459,500",0,0,650,0.05
8229,SuperB,5/7/2024,"4,200,000","5,208,000","-2,893,334",0,755,0.01
8228,RBF,5/7/2024,"425,000","488,750",0,0,725.5,0.03
8227,NTW,5/7/2024,"150,000","187,500",0,0,732,0.05
8226,RBF,5/6/2024,"500,000","615,000",0,0,756,0.04
8225,RBF,5/3/2024,"1,000,000","1,310,000",0,0,778,0.04
8224,RBF,5/3/2024,"250,000","347,500",0,0,792,0.08
8223,RBF,5/3/2024,"200,000","246,000",0,0,749,0.03
8222,RBF,5/3/2024,"250,000","330,000",0,0,729,0.09
8221,RBF,5/3/2024,"141,108","176,385",0,0,755.5,0.04
8220,RBF,5/3/2024,"35,000","52,150",0,0,509,0.1
8219,SuperB,5/3/2024,"3,000,000","3,750,000",0,0,723,0.02
8218,RBF,5/3/2024,"350,000","462,000",0,0,698,0.1
8217,NTW,5/2/2024,"100,000","123,000",0,0,664,0.04
8216,RBF,5/1/2024,"300,000","402,000",0,0,714,0.03
8215,RBF,5/1/2024,"585,000","742,950",0,0,655,0.04
8214,RBF,5/1/2024,"600,000","804,000","-121,238",0,661,0.08
8213,RBF,4/30/2024,"100,000","123,000",0,0,785,0.05
8212,RBF,4/30/2024,"170,000","221,000",0,0,709,0.1
8211,RBF,4/30/2024,"1,000,000","1,300,000",0,0,650,0.05
8210,RBF,4/30/2024,"500,000","650,000",0,0,717,0.05
8209,SuperB,4/30/2024,"2,350,000","2,773,000",0,0,738.5,0.03
8208,SuperB,4/30/2024,"1,500,000","1,800,000",0,0,741,0.01
8207,RBF,4/30/2024,"775,000","976,500",0,0,719,0.03
8206,RBF,4/30/2024,"350,000","472,500",0,0,699,0.08
8205,NTW,4/30/2024,"35,000","46,200",0,0,791,0.1
8204,NTW,4/29/2024,"150,000","198,000","-88,642",0,685,0.1
8203,SuperB,4/29/2024,"500,000","600,000",0,0,741,0.02
8202,SuperB,4/29/2024,"1,000,000","1,215,000",0,0,734,0.005
8201,RBF,4/29/2024,"650,000","793,000",0,"542,595",702,0.05
8200,RBF,4/29/2024,"150,000","193,500",0,"126,964",718,0.1
8199,RBF,4/29/2024,"150,000","195,000",0,0,742,0.1
8198,RBF,4/29/2024,"1,000,000","1,270,000",0,0,757.3333,0.03
8197,RBF,4/29/2024,"75,000","96,750",0,0,709,0.08
8196,RBF,4/29/2024,"1,300,000","1,703,000",0,0,662,0.03
8195,NTW,4/26/2024,"150,000","199,500",0,0,623.5,0.09
8194,RBF,4/26/2024,"1,200,000","1,572,000","-833,333",0,652,0.03
8193,SuperB,4/26/2024,"2,300,000","2,967,000",0,0,759,0.02
8191,RBF,4/26/2024,"175,000","225,750",0,0,683,0.05
8190,NTW,4/26/2024,"40,000","54,400",0,0,734,0.1
8189,RBF,4/26/2024,"476,745","591,164","-12,199",0,567,0.02
8188,RBF,4/25/2024,"501,000","626,250",0,0,725.5,0.03
8187,RBF,4/25/2024,"300,000","384,000",0,0,767,0.09
8186,RBF,4/25/2024,"225,000","297,000","-142,893",0,681,0.08
8185,RBF,4/25/2024,"100,000","118,000",0,0,753,0.06
8184,RBF,4/25/2024,"300,000","399,000","-149,936",0,648,0.1
8183,RBF,4/25/2024,"500,000","625,000",0,0,744,0.04
8182,RBF,4/25/2024,"500,000","655,000","-295,374",0,657,0.05
8181,SuperB,4/25/2024,"800,000","1,024,000",0,0,748,0.02
8180,RBF,4/25/2024,"200,000","234,000","-11,143",0,777,0.02
8179,RBF,4/25/2024,"400,000","512,000",0,0,691,0.1
8178,SuperB,4/25/2024,"2,800,000","3,528,000","-350,000",0,794,0.03
8176,RBF,4/24/2024,"250,000","320,000","-90,667",0,681,0.04
8175,RBF,4/24/2024,"325,000","422,500",0,0,615,0.06
8174,RBF,4/23/2024,"310,000","362,700",0,0,690.5,0.035
8173,RBF,4/23/2024,"200,000","258,000",0,0,748,0.05
8171,RBF,4/23/2024,"400,000","520,000",0,"234,921",776,0.04
8170,RBF,4/23/2024,"250,000","300,000",0,0,N/A,0.08
8169,RBF,4/22/2024,"1,100,000","1,386,000",0,0,656,0.01
8168,RBF,4/22/2024,"350,000","469,000","-167,791",0,734,0.08
8167,RBF,4/22/2024,"300,000","363,000","-14,405",0,768.5,0
8166,NTW,4/22/2024,"105,000","137,550",0,0,768,0.1
8165,SuperB,4/19/2024,"2,000,000","2,680,000",0,0,790,0.05
8164,SuperB,4/19/2024,"1,500,000","1,995,000","-237,500",0,710.5,0.05
8163,RBF,4/19/2024,"700,000","868,000","-17,222",0,737,0.03
8162,NTW,4/19/2024,"100,000","129,000",0,0,624,0.01
8161,RBF,4/19/2024,"150,000","213,000","-1,014",0,616,0
8160,RBF,4/19/2024,"300,000","390,000",0,0,706.5,0.08
8159,RBF,4/19/2024,"200,000","270,000","-85,714",0,704,0.1
8158,RBF,4/19/2024,"500,000","660,000",0,0,764,0.05
8157,RBF,4/19/2024,"150,000","198,000","-9,786",0,705.5,0.1
8156,RBF,4/19/2024,"500,000","645,000",0,0,773,0.05
8155,RBF,4/19/2024,"150,000","184,500",0,0,768,0.06
8154,SuperB,4/18/2024,"1,000,000","1,300,000",0,0,747,0.05
8153,RBF,4/18/2024,"100,000","135,000",0,0,792,0.1
8152,NTW,4/18/2024,"60,000","79,200",0,0,726,0.1
8151,RBF,4/18/2024,"250,000","317,500","-41,577",0,703,0.05
8150,RBF,4/18/2024,"200,000","266,000",0,0,718,0.1
8149,RBF,4/18/2024,"275,000","354,750","-81,580",0,750,0.05
8148,RBF,4/17/2024,"400,000","516,000",0,0,765,0.07
8147,RBF,4/17/2024,"400,000","528,000",0,0,644,0.1
8146,RBF,4/17/2024,"300,000","384,000",0,0,710,0.08
8145,RBF,4/17/2024,"770,000","1,016,400",0,0,732,0.06
8144,SuperB,4/17/2024,"580,000","696,000",0,0,644,0.01
8143,RBF,4/17/2024,"500,000","670,000",0,0,718,0.03
8142,RBF,4/16/2024,"200,000","248,000","-14,762",0,688,0.03
8141,RBF,4/16/2024,"300,000","372,000",0,0,722,0.04
8140,RBF,4/16/2024,"150,000","195,000",0,0,670,0.06
8139,RBF,4/16/2024,"150,000","187,500",0,0,731,0.03
8138,RBF,4/16/2024,"300,000","369,000",0,0,763.6666,0.03
8137,RBF,4/16/2024,"100,000","135,000",0,0,719,0.05
8136,RBF,4/16/2024,"500,000","615,000",0,0,787,0.03
8135,RBF,4/15/2024,"240,000","302,400",0,"121,200",786,0.03
8134,RBF,4/15/2024,"200,000","254,000",0,0,761,0.08
8133,RBF,4/15/2024,"550,000","709,500","-56,310",0,678,0.04
8131,RBF,4/12/2024,"50,000","64,000",0,0,711,0.06
8130,RBF,4/12/2024,"1,000,000","1,350,000",0,0,638,0.06
8129,RBF,4/12/2024,"650,000","864,500","-144,084",0,683,0.06
8128,RBF,4/12/2024,"200,000","268,000","-28,629",0,667,0.1
